Year,Yearly Return %,Ticker
2009,1.4626334519572954,AAPL
2007,1.2959543850122184,AAPL
2009,0.5466500146929181,QQQ
2010,0.5108079441132366,AAPL
2006,0.3581277533039648,XOM
2007,0.2284475734167725,XOM
2010,0.18432595998217252,QQQ
2008,0.1823730832216764,WMT
2007,0.18210353119858233,QQQ
2006,0.17167446776385334,AAPL
2006,0.13785152364589942,BAC
2009,0.08184104244456297,BAC
2006,0.06537793223284104,QQQ
2010,0.06398547337384483,XOM
2007,0.009343226161033131,WMT
2010,0.0034805831618580385,WMT
2006,-0.003857280617164925,WMT
2009,-0.045204270342972495,WMT
2010,-0.12362522622859529,BAC
2009,-0.1432629618131015,XOM
2008,-0.15202439571754833,XOM
2007,-0.22734044455038435,BAC
2008,-0.41780572846478004,QQQ
2008,-0.5721219712686422,AAPL
2008,-0.661013919039714,BAC
