$10K Investment Value,Ticker
26717602.115780197,WMT
12480654.761904763,MSFT
5712436.54822335,AMZN
4120741.719354534,AAPL
1587159.6911824462,CVX
1331075.2555733465,NVDA
553967.405824205,XOM
375512.2010886184,TGT
331539.7609960583,COP
311992.065015678,JPM
232590.05145797593,IBM
73420.66635278478,BAC
35491.02194635336,GS
33611.82800402432,QQQ
24633.96010308294,SPY
10000,
